NewsOutletCountry,Theme,ActionCountry,Actor,avg(Tone)
ID,PMESII-PT-Political,ID,CHN,1.7736295327090625
ID,PMESII-PT-Political,ID,RUS,0.6804750125733611
ID,PMESII-PT-Political,ID,USA,0.17491798006287837
ID,PMESII-PT-Political,JA,CHN,-1.0754584832624956
ID,PMESII-PT-Political,JA,RUS,-3.0727560250804973
ID,PMESII-PT-Political,JA,USA,-1.587767247032995
ID,PMESII-PT-Political,MY,CHN,1.1281756982207298
ID,PMESII-PT-Political,MY,RUS,0.6023606061935425
ID,PMESII-PT-Political,MY,USA,-0.34168447147716174
ID,PMESII-PT-Political,RP,CHN,-3.922177529470487
ID,PMESII-PT-Political,RP,RUS,-5.290323847532273
ID,PMESII-PT-Political,RP,USA,-2.2116923557745443
ID,PMESII-PT-Political,SN,CHN,2.022477626800537
ID,PMESII-PT-Political,SN,RUS,-2.3387845754623413
ID,PMESII-PT-Political,SN,USA,-1.1731156607468922
ID,PMESII-PT-Political,TW,CHN,-2.382055210827411
ID,PMESII-PT-Political,TW,RUS,-1.7151495185163286
ID,PMESII-PT-Political,TW,USA,-1.733733599449133
ID,PMESII-PT-Political,VM,CHN,2.9579694189808587
ID,PMESII-PT-Political,VM,RUS,0.8020634825030962
ID,PMESII-PT-Political,VM,USA,1.4954902659291807
ID,PMESII-PT-Social ,CH,CHN,0.2726889811498014
ID,PMESII-PT-Social ,CH,RUS,-1.8013534288772421
ID,PMESII-PT-Social ,CH,USA,-1.6340195310826835
ID,PMESII-PT-Social ,ID,CHN,1.8558915211087645
ID,PMESII-PT-Social ,ID,RUS,0.5806273482921647
ID,PMESII-PT-Social ,ID,USA,-0.15121285895104794
ID,PMESII-PT-Social ,JA,CHN,-1.4632925757190638
ID,PMESII-PT-Social ,JA,RUS,-2.6923434538027595
ID,PMESII-PT-Social ,JA,USA,-1.2015476702289147
ID,PMESII-PT-Social ,MY,CHN,1.463876760005951
ID,PMESII-PT-Social ,MY,RUS,0.6023606061935425
ID,PMESII-PT-Social ,MY,USA,-0.8166090250015259
ID,PMESII-PT-Social ,RP,CHN,-3.7504010855174457
ID,PMESII-PT-Social ,RP,RUS,-5.090185593474995
ID,PMESII-PT-Social ,RP,USA,-0.9101473004557192
ID,PMESII-PT-Social ,SN,CHN,1.2460747145648514
ID,PMESII-PT-Social ,SN,RUS,-2.7901368803448148
ID,PMESII-PT-Social ,SN,USA,-1.8272837327451121
ID,PMESII-PT-Social ,TW,CHN,-3.1845388346910477
ID,PMESII-PT-Social ,TW,RUS,-2.385964583892089
ID,PMESII-PT-Social ,TW,USA,-2.385746360728235
ID,PMESII-PT-Social ,VM,CHN,3.3637218629160235
ID,PMESII-PT-Social ,VM,RUS,1.170173277457555
ID,PMESII-PT-Social ,VM,USA,1.92033061707342
JA,PMESII-PT-Economic ,CH,CHN,-1.226008507174568
JA,PMESII-PT-Economic ,CH,RUS,-2.3639932532202113
JA,PMESII-PT-Economic ,CH,USA,-1.4586652083307263
JA,PMESII-PT-Economic ,ID,CHN,-0.10442261397838593
JA,PMESII-PT-Economic ,ID,USA,0.5411891924298328
JA,PMESII-PT-Economic ,JA,CHN,-2.045036400117541
JA,PMESII-PT-Economic ,JA,RUS,-2.589419580040834
JA,PMESII-PT-Economic ,JA,USA,-0.7927090611421701
JA,PMESII-PT-Economic ,MY,CHN,1.8028037428855896
JA,PMESII-PT-Economic ,MY,USA,-1.5199867089589436
JA,PMESII-PT-Economic ,RP,CHN,-3.76815167400572
JA,PMESII-PT-Economic ,RP,USA,-0.5844997969957498
JA,PMESII-PT-Economic ,SN,CHN,0.06565866867701213
JA,PMESII-PT-Economic ,SN,USA,1.0997415570651783
JA,PMESII-PT-Economic ,TW,CHN,-2.1222504138946534
JA,PMESII-PT-Economic ,TW,USA,-0.890773226817449
JA,PMESII-PT-Economic ,VM,CHN,-1.7118367354075115
JA,PMESII-PT-Economic ,VM,RUS,0.0377998948097229
JA,PMESII-PT-Economic ,VM,USA,-1.178799533843994
JA,PMESII-PT-Information ,CH,CHN,-1.653041901687781
JA,PMESII-PT-Information ,CH,RUS,-2.0585763481530277
JA,PMESII-PT-Information ,CH,USA,-2.0322660946597657
JA,PMESII-PT-Information ,ID,CHN,1.3655172785123189
JA,PMESII-PT-Information ,ID,USA,1.8345183495964323
JA,PMESII-PT-Information ,JA,CHN,-2.996049986269913
JA,PMESII-PT-Information ,JA,RUS,-3.952895361643571
JA,PMESII-PT-Information ,JA,USA,-0.6626447287045028
JA,PMESII-PT-Information ,MY,CHN,0.2536551058292389
JA,PMESII-PT-Information ,MY,USA,0.5764979124069214
JA,PMESII-PT-Information ,RP,CHN,-3.6559713712105384
JA,PMESII-PT-Information ,RP,USA,-0.9422943294048309
JA,PMESII-PT-Information ,SN,CHN,-3.409090995788574
JA,PMESII-PT-Information ,SN,USA,3.549848031997681
JA,PMESII-PT-Information ,TW,CHN,-0.9592905822007552
JA,PMESII-PT-Information ,TW,USA,-0.3251055758446455
JA,PMESII-PT-Information ,VM,CHN,-2.7297261555989585
JA,PMESII-PT-Information ,VM,RUS,-2.874564528465271
JA,PMESII-PT-Infrastructure,CH,CHN,-1.9617477081764494
JA,PMESII-PT-Infrastructure,CH,RUS,-1.860208254793416
JA,PMESII-PT-Infrastructure,CH,USA,-1.9746294363978363
JA,PMESII-PT-Infrastructure,ID,CHN,0.7230040669441223
JA,PMESII-PT-Infrastructure,ID,USA,0.2651351997256279
JA,PMESII-PT-Infrastructure,JA,CHN,-2.620419244778653
JA,PMESII-PT-Infrastructure,JA,RUS,-2.3132946974244613
JA,PMESII-PT-Infrastructure,JA,USA,-1.8637317014939112
JA,PMESII-PT-Infrastructure,MY,CHN,-1.3475781480471294
JA,PMESII-PT-Infrastructure,MY,USA,-1.7735088765621185
JA,PMESII-PT-Infrastructure,RP,CHN,-3.9119877486812826
JA,PMESII-PT-Infrastructure,RP,USA,-2.3691786357334683
JA,PMESII-PT-Infrastructure,SN,CHN,1.5437872750418526
JA,PMESII-PT-Infrastructure,SN,USA,0.9289187490940094
JA,PMESII-PT-Infrastructure,TW,CHN,-2.0763368770187975
JA,PMESII-PT-Infrastructure,TW,USA,-1.175426776210467
JA,PMESII-PT-Infrastructure,VM,CHN,-1.8861302375793456
JA,PMESII-PT-Infrastructure,VM,RUS,1.1494252681732178
JA,PMESII-PT-Infrastructure,VM,USA,-1.1450671752293904
JA,PMESII-PT-Military ,CH,CHN,-2.7709647574073633
JA,PMESII-PT-Military ,CH,RUS,-2.0170446456624913
JA,PMESII-PT-Military ,CH,USA,-2.3021066844359868
JA,PMESII-PT-Military ,ID,CHN,-2.4768191973368325
JA,PMESII-PT-Military ,ID,RUS,0.4464285671710968
JA,PMESII-PT-Military ,ID,USA,-0.5548868536949157
JA,PMESII-PT-Military ,JA,CHN,-2.82676515984832
JA,PMESII-PT-Military ,JA,RUS,-2.8553024338207385
JA,PMESII-PT-Military ,JA,USA,-1.7636076892352002
JA,PMESII-PT-Military ,MY,CHN,-0.33557048439979553
JA,PMESII-PT-Military ,MY,RUS,-0.4524886906147003
JA,PMESII-PT-Military ,MY,USA,-4.391565839449565
JA,PMESII-PT-Military ,RP,CHN,-4.043591155900675
JA,PMESII-PT-Military ,RP,RUS,-1.2027491331100464
JA,PMESII-PT-Military ,RP,USA,-1.7424713854085316
JA,PMESII-PT-Military ,SN,CHN,-2.2040890216827393
